"","code","articles","study_num"
"87",65,"Sundara, M., Polka, L., & Molnar, M. (2008)","1"
"88",66,"Sundara, M., & Scutellaro, A. (2011)","1"
"89",67,"Mattock, K., Polka, L., Rvachew, S., & Krehm, M. (2010)","1"
"90",68,"Havy, M., Bouchon, C., & Nazzi, T. (2016)","1"
"91",69,"Abboub, N., Nazzi, T., & Gervain, J. (2016)","3&4"
"92",70,"Abboub, N., Bijeljac-Babic, R., Serres, J., & Nazzi, T. (2015)","1"
"93",71,"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011)","1"
"94",71,"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011)","2"
"95",72,"Sebastián-Gallés, N., Albareda-Castellot, B., Weikum, W. M., & Werker, J. F. (2012)","1"
"96",73,"Weikum, W. M., Vouloumanos, A., Navarra, J., Soto-Faraco, S., Sebastián-Gallés, N., & Werker, J. F. (2007)","1"
"97",74,"Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007)","1"
"98",74,"Fennell, C. T., Byers-Heinlein, K., & Werker, J. F. (2007)","2"
"99",75,"Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","1"
"100",75,"Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","2"
"101",75,"Burns, T. C., Yoshida, K. A., Hill, K., & Werker, J. F. (2007)","3"
"102",76,"Byers-Heinlein, K., & Werker, J. F. (2013)","1"
"103",77,"Byers-Heinlein, K., Fennell, C. T., & Werker, J. F. (2013)","1"
"104",78,"Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","1a"
"105",78,"Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","1b"
"106",78,"Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010)","2"
"107",79,"Byers-Heinlein, K., & Werker, J. F. (2009)","1"
"108",79,"Byers-Heinlein, K., & Werker, J. F. (2009)","2"
"109",80,"Houston-Price, C., Caloghiris, Z., & Raviglione, E. (2010)","1"
"110",81,"Byers-Heinlein, K. (2017)","1"
"111",82,"Kovács, Á. M., & Mehler, J. (2009)","1"
"112",82,"Kovács, Á. M., & Mehler, J. (2009)","2"
"113",82,"Kovács, Á. M., & Mehler, J. (2009)","3"
"114",83,"Kovács, Á. M., & Mehler, J. (2009)","1"
"115",84,"Vihman, M. M., Thierry, G., Lum, J., Keren-Portnoy, T., & Martin, P. (2007)","1"
"116",85,"Singh, L., Poh, F. L. S., & Fu, C. S. L. (2016)","1"
